Year,fo,fir,fdi,dp,port
1960,,,,,
1961,2.30,,,3.72,
1962,6.10,,,2.93,
1963,4.40,,,5.99,
1964,5.80,,,7.45,
1965,6.40,,,-2.64,
1966,6.50,5.07,,-0.06,
1967,2.50,4.70,,7.83,
1968,4.80,5.46,,3.39,
1969,3.10,6.79,,6.54,
1970,-0.35,6.49,4.55E+07,5.16,0
1971,3.29,4.67,4.77E+07,1.64,0
1972,5.26,4.76,1.78E+07,-0.55,0
1973,5.65,7.02,3.79E+07,3.30,0
1974,-0.54,7.72,5.70E+07,1.19,0
1975,-0.21,6.30,-1.03E+07,9.15,0
1976,5.39,5.52,-7.71E+06,1.66,0
1977,4.62,5.70,-3.61E+07,7.25,0
1978,5.54,7.74,1.81E+07,5.71,0
1979,3.17,9.73,4.86E+07,-5.24,0
1980,-0.26,10.85,7.92E+07,6.74,0
1981,2.54,13.16,9.19E+07,6.01,0
1982,-1.80,11.07,7.21E+07,3.48,0
1983,4.58,8.80,5.64E+06,7.29,0
1984,7.24,9.94,1.92E+07,3.82,0
1985,4.17,7.81,1.06E+08,5.25,0
1986,3.46,6.07,1.18E+08,4.78,0
1987,3.46,6.33,2.12E+08,3.97,0
1988,4.18,7.13,9.13E+07,9.63,0
1989,3.67,7.92,2.52E+08,5.95,0
1990,1.89,7.35,2.37E+08,5.53,0
1991,-0.11,7.86,7.35E+07,1.06,-4636519.763
1992,3.52,7.01,2.77E+08,5.48,-283578511.9
1993,2.75,5.87,5.50E+08,4.75,-1369117146
1994,4.03,7.09,9.73E+08,6.66,-5491125009
1995,2.68,6.57,2.14E+09,7.57,-1590475624
1996,3.77,6.44,2.43E+09,7.55,-3958322334
1997,4.38,6.35,3.58E+09,4.05,-2555657284
1998,4.48,5.26,2.63E+09,6.18,601151966.9
1999,4.75,5.65,2.17E+09,8.85,-2317070163
2000,4.13,6.03,3.58E+09,3.84,-2345216989
2001,1.00,5.02,5.13E+09,4.82,-2852793642
2002,1.74,4.61,5.21E+09,3.80,-1022422260
2003,2.86,4.01,3.68E+09,7.86,-8216187274
2004,3.80,4.27,5.43E+09,7.92,-9037076534
2005,3.51,4.29,7.27E+09,7.92,-12144114068
2006,2.85,4.8,2.00E+10,8.06,-9545718947
2007,1.88,4.63,2.52E+10,7.66,-33016300605
2008,-0.14,3.66,4.34E+10,3.09,15074790314
2009,-2.54,3.26,3.56E+10,7.86,-17756860244
2010,2.56,3.22,2.74E+10,8.50,-36875471079
2011,1.55,2.78,3.65E+10,5.24,-2664809742
2012,2.25,1.8,2.40E+10,5.46,-29285240146
2013,1.84,2.35,2.82E+10,6.39,-6857994918
2014,2.53,2.54,3.46E+10,7.41,-37740318603
2015,3.08,2.14,4.40E+10,8.00,-9486642829
2016,1.71,1.84,4.45E+10,8.26,4725209437
2017,2.33,2.33,4.00E+10,6.80,-30637784958
2018,3.00,2.91,4.21E+10,6.53,9597939591
2019,2.16,2.14,5.06E+10,4.04,-24584119878
2020,-3.49,0.89,,-7.96,-15111706747
